age,years_experience,monthly_salary,performance_score,gender,department,city
48,8,46129.0,5,Male,Marketing,Phoenix
31,5,43582.92,2,Female,Marketing,Phoenix
31,8,56812.19,2,Female,IT,Chicago
31,6,51136.71,2,Male,Finance,Houston
41,12,46037.63,1,Male,Marketing,Houston
36,11,53744.84,2,Female,Sales,New York
33,4,47353.64,2,Male,Finance,Phoenix
33,10,52759.37,4,Male,Marketing,New York
46,18,66966.62,4,Female,Sales,Phoenix
54,22,60297.85,1,Male,IT,Phoenix
48,23,67088.31,5,Male,Marketing,New York
42,8,50963.57,5,Male,Finance,New York
41,10,52597.63,5,Male,Marketing,Los Angeles
46,8,48442.31,1,Female,Finance,Houston
52,22,57907.43,3,Female,Marketing,Los Angeles
31,7,48182.94,4,Male,Sales,New York
45,16,52842.49,3,Male,Marketing,Houston
36,9,41808.29,4,Male,HR,Houston
52,10,41507.33,1,Male,Marketing,Los Angeles
37,9,48996.89,5,Female,Marketing,Los Angeles
53,17,59135.22,1,Male,IT,New York
47,15,57380.36,3,Male,Finance,Los Angeles
43,9,57379.68,4,Male,Finance,Chicago
51,9,49678.71,5,Male,Marketing,Houston
44,7,48547.37,4,Female,Sales,Phoenix
55,29,86354.57,5,Female,IT,New York
33,9,51223.91,5,Female,Marketing,Chicago
35,5,37838.71,2,Male,HR,Phoenix
