age,gender,department,city,years_experience,monthly_salary,performance_score,attrition
33,Male,Marketing,New York,10,52759.37,4,No
48,Male,Sales,New York,7,52164.62,2,No
45,Male,Finance,Phoenix,17,65577.79,4,No
53,Male,HR,Phoenix,25,65862.26,4,No
58,Female,HR,New York,28,57751.42,1,Yes
26,Male,HR,Houston,4,54566.02,5,No
52,Female,Marketing,Los Angeles,22,57907.43,3,No
41,Female,IT,Los Angeles,10,55852.31,4,No
36,Female,Finance,New York,7,62888.06,5,No
41,Male,Marketing,New York,9,41253.05,3,No
31,Male,Finance,New York,7,46060.37,4,No
57,Female,Finance,Houston,25,68828.23,3,Yes
56,Female,IT,Phoenix,13,63343.05,5,No
55,Female,HR,New York,26,58188.45,2,No
39,Male,IT,New York,12,66375.72,5,No
40,Female,Marketing,Chicago,11,41017.18,1,Yes
38,Male,Marketing,Houston,9,47406.67,3,No
34,Female,Marketing,New York,7,41609.58,2,Yes
35,Female,IT,Chicago,5,47785.13,3,No
51,Female,Finance,Los Angeles,11,54802.64,3,No
21,Male,Finance,New York,0,50210.38,4,No
23,Male,Sales,New York,1,45632.27,1,No
36,Female,Marketing,Chicago,8,48517.68,3,No
43,Male,Finance,Houston,13,51306.66,5,No
31,Female,Sales,New York,3,47697.44,5,No
32,Male,Finance,Los Angeles,8,54599.21,4,No
30,Male,Marketing,New York,4,41744.84,1,Yes
52,Male,HR,Los Angeles,25,56689.24,1,No
36,Female,Marketing,Phoenix,12,59412.36,5,No
28,Male,IT,Phoenix,3,48816.68,2,No
58,Male,Finance,Los Angeles,20,72035.19,4,No
32,Female,Finance,Houston,3,47895.02,4,Yes
44,Female,IT,New York,14,64877.37,5,No
48,Female,IT,New York,17,70456.57,5,No
28,Female,HR,Phoenix,3,34961.22,2,No
48,Male,Finance,Los Angeles,16,54439.95,2,No
56,Male,Finance,New York,13,50032.59,1,Yes
46,Male,HR,New York,9,44353.14,4,No
28,Male,Sales,Houston,4,48690.25,4,No
48,Male,HR,Chicago,12,45060.77,5,No
48,Female,Marketing,Phoenix,16,43176.12,1,Yes
57,Male,Finance,Phoenix,18,71350.99,4,No
56,Male,IT,Chicago,29,66849.61,1,No
47,Male,Marketing,New York,9,43550.06,1,Yes
37,Female,Finance,Houston,8,50643.41,5,No
29,Female,HR,Houston,5,37326.5,1,Yes
53,Male,Marketing,Phoenix,16,48723.97,2,No
40,Female,Finance,Houston,16,51347.64,2,No
33,Female,Sales,Chicago,8,53547.68,3,No
48,Female,Sales,New York,17,65880.26,5,No
49,Female,IT,Chicago,20,65170.58,3,No
33,Female,Finance,Los Angeles,10,55897.68,2,Yes
55,Female,Sales,Phoenix,27,73863.17,3,No
26,Female,HR,Houston,3,46866.3,5,No
38,Male,Finance,Los Angeles,12,62318.72,5,No
25,Male,HR,Houston,1,33945.8,1,No
45,Female,HR,New York,7,48047.99,4,No
22,Male,Sales,New York,1,35694.32,1,Yes
30,Male,Finance,New York,2,49793.46,5,No
50,Female,Marketing,Houston,16,53403.57,2,No
25,Male,Sales,Los Angeles,2,38404.54,2,No
53,Female,Sales,New York,15,48986.8,1,No
21,Female,Finance,Los Angeles,0,49000.75,5,No
38,Female,Finance,Houston,14,60302.43,2,No
52,Male,HR,Los Angeles,9,45019.34,5,No
31,Male,Finance,Houston,6,51136.71,2,No
41,Male,HR,Houston,16,59367.19,5,No
46,Male,Sales,Phoenix,7,50393.25,3,Yes
45,Female,IT,Houston,18,64873.01,5,No
42,Female,Marketing,Houston,10,45729.27,5,No
47,Male,Sales,Chicago,12,49838.8,1,Yes
33,Female,Finance,New York,10,54850.16,3,No
53,Female,Marketing,Phoenix,12,56217.51,4,Yes
54,Male,IT,Phoenix,22,60297.85,1,No
55,Female,IT,Phoenix,25,75590.47,4,No
21,Male,HR,Chicago,0,38617.65,2,No
41,Female,Marketing,Houston,13,52768.76,4,No
26,Male,HR,New York,4,46467.72,5,Yes
48,Female,Sales,Los Angeles,9,52877.87,4,No
37,Female,Marketing,Houston,13,43264.12,1,No
25,Male,Sales,Chicago,2,40224.39,1,No
51,Male,HR,Houston,19,63339.99,4,No
25,Male,Marketing,Houston,2,36188.82,1,Yes
58,Male,HR,Chicago,16,41556.3,1,No
23,Female,Marketing,Phoenix,2,39951.09,4,Yes
43,Female,HR,Phoenix,18,46582.28,3,No
57,Male,IT,New York,23,73611.04,3,No
57,Female,HR,New York,26,62156.42,2,Yes
30,Male,IT,Phoenix,6,45894.52,1,Yes
30,Male,HR,Los Angeles,5,37877.76,4,No
39,Female,Marketing,Houston,12,42266.82,1,No
37,Female,Marketing,Los Angeles,9,48996.89,5,No
41,Male,Marketing,Houston,12,46037.63,1,Yes
34,Male,Finance,Phoenix,9,49053.04,1,No
29,Male,Sales,New York,4,49765.73,3,Yes
21,Female,Marketing,New York,0,38028.98,4,No
33,Female,IT,Los Angeles,4,39967.25,1,Yes
24,Female,Marketing,New York,2,35872.09,3,No
21,Female,Finance,Phoenix,0,42307.9,2,No
52,Male,IT,Los Angeles,19,61735.29,3,No
54,Male,Finance,Houston,21,63381.97,3,No
48,Male,IT,New York,15,59033.87,3,No
51,Male,HR,Chicago,19,54210.95,1,No
28,Male,Sales,New York,3,36702.14,1,Yes
59,Male,Sales,Houston,20,55890.63,2,No
46,Female,Finance,Los Angeles,17,68019.13,5,No
54,Female,Sales,Houston,26,67440.07,5,No
23,Male,Finance,Chicago,1,51642.85,5,No
32,Male,Finance,Phoenix,3,46575.94,2,Yes
21,Female,Finance,New York,0,49567.06,5,No
25,Female,Sales,Los Angeles,1,41412.41,5,No
50,Female,Finance,Phoenix,19,67569.1,3,No
50,Female,Sales,Houston,13,57432.74,1,Yes
37,Male,Finance,Los Angeles,9,48785.31,1,Yes
43,Male,Marketing,Phoenix,12,45814.58,3,No
35,Male,Finance,Los Angeles,4,48516.41,3,No
57,Male,IT,Chicago,18,67659.44,3,No
41,Male,Finance,Chicago,8,45339.25,1,Yes
34,Female,HR,New York,7,47134.4,5,No
22,Male,Finance,New York,0,45962.62,3,No
31,Female,IT,Chicago,8,56812.19,2,No
59,Male,IT,Los Angeles,13,62051.69,3,No
58,Male,Sales,Chicago,31,75517.47,4,No
54,Male,Marketing,New York,16,52094.93,3,No
58,Male,Finance,Chicago,28,68407.68,1,No
54,Male,Sales,Chicago,21,57662.15,3,No
38,Female,Marketing,Los Angeles,12,55582.1,4,Yes
50,Female,Finance,Phoenix,21,66954.88,2,Yes
35,Female,HR,New York,8,50813.45,5,No
47,Male,Finance,Los Angeles,15,57380.36,3,No
54,Male,IT,Chicago,18,65085.09,4,No
58,Female,IT,Chicago,22,76926.06,4,No
53,Male,HR,Phoenix,9,41547.16,2,Yes
44,Male,Sales,New York,11,50849.98,1,Yes
35,Female,Marketing,New York,9,48505.57,3,No
50,Male,Finance,Houston,18,62563.45,4,No
37,Female,IT,New York,12,50421.4,2,No
25,Male,Sales,Phoenix,3,48696.4,5,No
49,Female,HR,Houston,24,61964.4,4,No
24,Male,IT,Houston,1,52576.14,2,Yes
30,Male,HR,Chicago,4,32559.23,1,No
37,Female,Finance,Chicago,8,56979.07,1,No
30,Male,Marketing,New York,5,47065.24,4,No
37,Male,IT,Houston,12,61711.32,4,No
40,Female,IT,Chicago,7,50877.71,3,No
44,Male,Finance,Phoenix,16,58858.83,2,No
25,Female,Sales,Chicago,2,46592.2,4,No
54,Male,Marketing,Chicago,20,61349.31,3,No
26,Male,IT,Houston,3,45536.71,3,Yes
22,Male,Marketing,Houston,0,46427.12,4,Yes
33,Male,IT,Los Angeles,7,50295.66,1,Yes
31,Female,Marketing,Phoenix,5,43582.92,2,No
43,Male,HR,Houston,6,39216.23,2,Yes
36,Female,IT,New York,8,46087.43,1,Yes
51,Male,Marketing,Phoenix,9,49640.9,4,No
31,Male,Sales,Phoenix,5,43899.18,2,Yes
36,Male,HR,Houston,9,41808.29,4,No
28,Male,HR,Phoenix,4,45773.14,4,No
24,Female,Sales,Houston,2,46486.1,3,No
24,Female,Marketing,Chicago,1,32231.34,1,Yes
45,Female,Finance,Los Angeles,15,56959.66,4,No
23,Female,Sales,Chicago,1,44738.15,5,No
52,Male,Marketing,Houston,15,48545.58,1,Yes
23,Female,Sales,Houston,2,39243.32,2,Yes
47,Female,Sales,Chicago,7,47006.33,3,Yes
49,Male,IT,New York,17,61435.91,2,No
52,Male,Marketing,New York,19,48976.92,2,No
39,Male,Finance,New York,9,43736.82,1,No
41,Male,IT,Houston,8,41110.89,2,No
25,Female,Sales,Phoenix,2,48470.18,4,Yes
38,Female,Sales,Houston,13,50810.91,2,No
48,Male,Sales,Phoenix,14,58091.4,3,No
42,Male,Marketing,Chicago,9,42599.05,3,No
41,Male,Marketing,Los Angeles,10,52597.63,5,No
26,Female,IT,Phoenix,3,50309.31,3,Yes
21,Female,Finance,New York,0,40152.87,2,No
25,Male,IT,Houston,2,42286.29,3,Yes
32,Male,HR,Chicago,7,45833.49,1,Yes
46,Female,Sales,New York,20,65197.13,3,No
54,Male,Sales,Chicago,13,53622.27,4,No
34,Male,Sales,Los Angeles,6,43940.91,1,Yes
46,Female,IT,Houston,12,60460.84,5,No
47,Male,IT,Houston,16,60018.39,4,Yes
29,Female,Sales,Los Angeles,4,49509.05,2,No
46,Male,IT,Houston,14,51078.52,2,No
42,Male,Marketing,Phoenix,15,49507.99,2,Yes
50,Female,Marketing,Chicago,20,60137.3,4,Yes
37,Female,IT,New York,8,63004.95,4,No
46,Male,Sales,Los Angeles,19,64436.35,4,No
56,Female,IT,Phoenix,20,54511.0,1,Yes
21,Male,IT,New York,0,42189.0,1,Yes
28,Male,IT,New York,2,46384.24,2,Yes
55,Female,HR,Los Angeles,29,63236.65,3,No
35,Male,Marketing,Phoenix,5,43629.24,2,Yes
42,Male,Finance,New York,8,50963.57,5,No
34,Female,Finance,New York,4,42365.46,1,No
46,Female,HR,Phoenix,16,55915.27,4,No
48,Male,IT,Houston,10,54418.3,1,Yes
43,Female,HR,New York,8,46997.68,4,No
34,Female,HR,Chicago,4,43646.43,5,No
44,Female,Sales,Phoenix,7,51170.23,5,Yes
22,Female,Marketing,New York,1,38111.63,1,Yes
46,Male,Finance,Los Angeles,17,63085.6,4,No
34,Male,IT,Chicago,6,52532.61,5,No
27,Male,Finance,New York,3,40316.01,2,No
23,Female,Finance,Chicago,1,37391.45,2,No
43,Female,Marketing,Chicago,6,52322.32,4,No
38,Female,Finance,Houston,8,51029.85,1,Yes
58,Female,Finance,Chicago,31,78024.05,5,No
55,Female,HR,Houston,20,49384.83,1,No
35,Female,Marketing,Phoenix,6,39804.28,2,No
45,Female,Sales,Houston,14,62672.95,5,No
57,Male,IT,Los Angeles,16,65017.73,1,Yes
48,Male,Finance,New York,15,56428.43,3,No
30,Female,IT,Phoenix,3,56203.66,4,No
59,Female,Sales,Phoenix,13,55262.05,4,No
37,Female,IT,Los Angeles,5,50500.28,3,Yes
59,Male,Sales,Houston,31,73866.86,2,No
42,Male,HR,New York,14,54259.34,5,No
46,Female,Finance,Houston,9,56535.46,4,No
45,Female,Sales,Chicago,9,50143.1,3,Yes
37,Male,IT,Houston,11,50547.6,3,No
33,Male,Finance,Phoenix,4,47353.64,2,No
40,Male,HR,New York,7,38799.23,2,No
45,Male,Finance,Houston,20,53515.39,1,No
24,Female,Sales,New York,1,41681.45,4,Yes
30,Male,HR,New York,6,35798.44,1,Yes
23,Male,IT,Chicago,2,52619.53,3,No
38,Female,HR,Chicago,8,44344.84,5,No
56,Male,HR,Phoenix,9,46390.61,5,No
42,Male,Marketing,Los Angeles,8,44941.55,2,No
54,Male,HR,New York,25,59446.82,5,No
28,Female,HR,Los Angeles,5,43113.97,5,No
39,Male,Finance,Phoenix,13,54692.09,5,No
57,Female,IT,New York,11,60730.05,3,Yes
26,Female,Finance,New York,4,51594.55,5,No
46,Male,Finance,Los Angeles,20,67936.33,5,No
54,Male,Sales,Houston,20,67664.04,5,No
26,Male,Finance,Chicago,4,41110.92,1,Yes
57,Male,Marketing,Houston,27,63002.05,3,No
53,Female,Marketing,Los Angeles,21,52124.69,2,No
42,Male,Sales,Chicago,13,44315.99,1,Yes
41,Male,IT,Houston,9,53667.67,4,Yes
26,Male,IT,Chicago,2,46530.04,3,Yes
26,Female,Finance,New York,3,45910.82,3,No
24,Male,Finance,Houston,1,48904.53,4,No
50,Male,Finance,Chicago,22,64135.13,4,No
31,Female,IT,Chicago,8,57678.53,4,No
50,Female,HR,Chicago,20,55340.01,2,No
51,Male,Marketing,Houston,9,49678.71,5,No
