Age,Gender,YearsExperience,MonthlySalary,PerformanceScore,Attrition,Dept_HR,Dept_IT,Dept_Marketing,Dept_Sales,City_Houston,City_Los Angeles,City_New York,City_Phoenix
46.0,0,11.0,47924.14,2,0,0,0,1,0,0,0,0,1
46.0,1,8.0,62652.04,5,0,0,0,0,0,0,0,0,1
41.0,1,13.0,51942.380000000005,5,0,0,1,0,0,0,0,0,1
59.0,1,10.0,75158.59,4,0,0,1,0,0,0,0,1,0
56.0,0,27.0,67054.52,2,0,0,0,0,1,0,0,1,0
53.0,1,10.0,46196.29,1,1,0,0,1,0,1,0,0,0
50.0,0,23.0,57472.95,1,0,0,0,0,0,0,0,0,1
57.0,0,23.0,68679.16,3,0,0,1,0,0,0,1,0,0
43.0,1,15.0,52746.99,1,1,0,0,1,0,0,0,0,0
30.0,0,7.0,55554.75,4,0,0,0,0,1,1,0,0,0
25.0,1,2.0,40017.44,5,0,1,0,0,0,0,0,1,0
56.0,1,16.0,60315.33,5,0,0,0,1,0,1,0,0,0
54.0,1,25.0,67353.48,5,0,0,0,1,0,1,0,0,0
51.0,0,10.0,47228.5,2,1,1,0,0,0,1,0,0,0
30.0,1,2.0,37524.01,1,1,0,0,1,0,1,0,0,0
39.0,0,13.0,56021.99,4,0,0,0,0,1,0,0,0,0
52.0,1,14.0,53865.63,2,0,0,0,0,1,0,0,0,1
21.0,1,0.0,42366.87,3,0,1,0,0,0,0,1,0,0
25.0,1,2.0,51836.51,4,1,0,0,0,0,1,0,0,0
43.0,0,2.0,51942.37,4,0,0,1,0,0,1,0,0,0
36.0,0,6.0,51942.380000000005,4,0,0,0,0,0,1,0,0,0
44.0,0,19.0,65489.72,5,0,0,0,1,0,0,0,0,1
36.0,1,11.0,58880.41,4,0,0,1,0,0,0,0,1,0
22.0,1,0.0,28182.62375,1,0,1,0,0,0,0,0,1,0
43.0,0,16.0,50048.68,4,0,1,0,0,0,0,0,0,0
52.0,0,26.0,76053.31375,5,0,0,1,0,0,0,0,1,0
47.0,0,14.0,53578.75,4,0,0,0,0,1,1,0,0,0
43.0,0,7.0,49217.78,3,0,0,1,0,0,1,0,0,0
44.0,0,12.0,46967.66,3,1,0,0,1,0,1,0,0,0
32.0,0,6.0,47950.46,5,0,0,0,0,1,0,0,0,0
55.0,1,24.0,58402.59,1,1,1,0,0,0,1,0,0,0
53.0,0,21.0,61523.03,1,0,0,1,0,0,0,0,1,0
53.0,1,16.0,52110.5,2,0,0,1,0,0,0,0,0,1
57.0,1,14.0,62424.18,5,0,0,0,0,0,0,0,0,1
32.0,0,7.0,48339.06,4,0,0,0,1,0,0,1,0,0
23.0,0,1.0,48032.65,5,0,0,0,0,0,0,0,1,0
21.0,1,0.0,49023.54,2,1,0,1,0,0,1,0,0,0
53.0,0,25.0,73066.24,5,0,0,1,0,0,0,0,0,1
43.0,0,6.0,59133.35,5,0,0,0,0,0,0,0,1,0
49.0,1,18.0,63887.13,2,1,0,1,0,0,0,0,0,1
33.0,1,9.0,46456.42,1,0,0,0,1,0,1,0,0,0
32.0,1,6.0,44105.8,4,0,0,0,0,1,0,0,0,1
51.0,0,22.0,57693.24,2,0,0,0,1,0,0,1,0,0
22.0,1,1.0,39338.69,3,1,0,0,1,0,0,1,0,0
55.0,0,10.0,46011.97,1,0,0,1,0,0,0,0,0,1
43.0,1,11.0,55470.24,3,0,0,0,0,1,0,0,1,0
37.0,1,9.0,47480.4,1,1,0,1,0,0,0,0,1,0
46.0,1,17.0,52511.73,4,0,1,0,0,0,0,0,1,0
28.0,0,2.0,46646.74,4,0,0,1,0,0,0,0,0,1
49.0,0,9.0,62354.75,5,0,0,1,0,0,0,0,1,0
46.0,1,10.0,49996.28,3,1,0,1,0,0,1,0,0,0
30.0,1,4.0,42471.5,1,0,0,0,0,1,0,1,0,0
46.0,1,17.0,69128.06,4,0,0,1,0,0,1,0,0,0
54.0,0,13.0,52898.71,2,1,0,1,0,0,0,0,1,0
27.0,1,4.0,53450.51,4,0,0,0,0,0,1,0,0,0
24.0,0,2.0,39338.19,2,1,1,0,0,0,0,0,1,0
31.0,1,6.0,38102.3,1,0,0,1,0,0,0,0,0,1
49.0,1,21.0,72488.94,4,0,0,0,0,0,1,0,0,0
56.0,1,17.0,57109.69,4,0,0,0,0,1,0,0,0,1
45.0,1,17.0,52084.45,1,1,0,0,0,1,0,0,0,1
41.0,1,10.0,46969.45,4,0,1,0,0,0,0,0,0,0
56.0,1,16.0,53566.17,2,0,0,0,1,0,0,0,1,0
30.0,0,7.0,51942.380000000005,4,1,0,0,1,0,0,1,0,0
57.0,1,13.0,53217.66,3,1,0,0,0,1,0,0,1,0
29.0,0,2.0,47958.62,5,0,0,1,0,0,0,1,0,0
43.0,1,16.0,62258.66,2,0,0,0,0,0,0,0,1,0
55.0,1,10.0,58782.96,3,0,0,1,0,0,0,0,0,1
55.0,0,26.0,65730.96,1,0,0,1,0,0,1,0,0,0
56.0,1,18.0,53623.4,2,0,0,0,0,1,1,0,0,0
38.0,0,14.0,60878.51,5,0,0,0,0,1,0,0,0,0
59.0,0,26.0,66870.83,5,0,0,0,0,1,0,1,0,0
52.0,1,19.0,54751.46,1,1,0,0,0,1,0,1,0,0
44.0,0,19.0,56895.6,1,0,0,0,1,0,0,1,0,0
43.0,0,11.0,45604.97,2,1,0,0,0,1,0,0,0,1
52.0,1,25.0,66024.4,4,0,0,0,1,0,0,1,0,0
57.0,0,12.0,46862.9,1,1,0,0,1,0,1,0,0,0
32.0,1,6.0,48110.65,4,0,0,0,0,1,0,0,0,1
33.0,1,5.0,39334.84,3,0,1,0,0,0,0,0,1,0
43.0,1,13.0,66209.19,5,0,0,0,0,0,0,1,0,0
45.0,1,8.0,54009.73,4,0,0,1,0,0,0,1,0,0
55.0,0,26.0,60451.84,5,0,0,0,1,0,0,0,1,0
50.0,1,22.0,70262.13,4,0,0,0,0,0,0,1,0,0
37.0,1,13.0,44144.79,3,0,1,0,0,0,0,0,1,0
40.0,0,7.0,51617.52,1,1,0,1,0,0,0,0,0,1
45.0,1,10.0,66189.61,3,1,0,1,0,0,1,0,0,0
42.0,1,11.0,47169.0,1,0,0,0,1,0,0,0,1,0
33.0,0,5.0,45235.65,1,1,0,0,0,1,0,0,0,0
39.0,0,8.0,56680.2,5,0,1,0,0,0,0,0,1,0
56.0,0,17.0,58617.04,3,0,0,0,1,0,0,1,0,0
32.0,0,7.0,46772.29,4,1,1,0,0,0,0,0,0,1
43.0,0,11.0,57585.79,3,0,0,0,0,1,0,0,0,1
32.0,0,6.0,57719.1,5,0,0,0,0,1,0,0,1,0
29.0,0,2.0,43175.09,1,0,0,0,1,0,1,0,0,0
27.0,1,2.0,44931.43,5,0,0,0,0,1,0,0,0,0
48.0,0,7.0,43633.93,2,0,0,0,0,0,0,0,0,1
34.0,0,11.0,52637.23,2,1,0,1,0,0,0,1,0,0
51.0,0,8.0,51214.57,4,0,0,0,1,0,0,1,0,0
39.0,1,6.0,47336.64,5,0,1,0,0,0,1,0,0,0
36.0,1,7.0,51942.380000000005,4,0,0,0,0,0,0,0,0,1
25.0,0,3.0,45891.93,4,0,0,0,1,0,0,0,1,0
55.0,0,28.0,59116.78,2,0,0,0,0,1,0,1,0,0
32.0,0,8.0,50964.68,4,0,0,0,0,1,1,0,0,0
45.0,1,16.0,58073.83,2,0,0,0,0,1,0,0,0,1
41.0,1,11.0,48847.26,1,0,0,0,0,1,0,0,0,1
56.0,0,10.0,54217.24,5,0,1,0,0,0,0,0,0,1
43.0,1,18.0,70289.49,4,0,0,0,0,0,0,0,0,1
36.0,0,11.0,54585.43,2,0,0,1,0,0,0,0,0,1
59.0,1,24.0,56787.63,3,0,1,0,0,0,0,1,0,0
59.0,1,27.0,69208.06,4,0,1,0,0,0,1,0,0,0
34.0,0,9.0,55434.48,1,0,0,1,0,0,0,0,0,1
51.0,0,19.0,62483.17,1,1,0,1,0,0,0,0,0,0
25.0,0,3.0,42808.52,3,1,0,0,0,1,0,0,0,0
55.0,0,27.0,51942.380000000005,2,0,1,0,0,0,1,0,0,0
43.0,1,14.0,48992.91,4,0,0,0,1,0,0,0,1,0
49.0,1,19.0,66901.79,2,0,0,1,0,0,0,0,1,0
31.0,1,3.0,49360.61,1,0,0,1,0,0,0,0,1,0
38.0,0,11.0,47603.27,2,1,0,0,0,0,0,0,0,0
43.0,1,3.0,40520.53,1,1,0,0,1,0,0,0,1,0
29.0,0,5.0,42766.41,2,1,0,0,1,0,0,1,0,0
30.0,1,8.0,50112.1,3,0,0,1,0,0,0,0,0,1
37.0,0,9.0,48726.0,5,0,0,0,0,1,0,0,0,0
58.0,0,20.0,65093.97,3,1,0,0,0,0,1,0,0,0
27.0,1,3.0,39859.18,3,1,0,0,1,0,1,0,0,0
43.0,0,4.0,62079.8,5,0,0,1,0,0,0,0,0,1
29.0,0,6.0,52510.39,5,0,0,0,1,0,0,0,0,0
47.0,1,10.0,58194.77,4,0,0,0,0,0,0,0,1,0
43.0,0,10.0,48892.32,4,1,0,0,0,0,0,0,1,0
25.0,0,2.0,51942.380000000005,3,1,1,0,0,0,0,1,0,0
49.0,0,20.0,68986.07,3,0,0,1,0,0,0,1,0,0
57.0,1,25.0,65949.07,1,0,0,0,0,0,0,0,1,0
58.0,1,10.0,37778.96,1,1,1,0,0,0,1,0,0,0
39.0,0,9.0,59597.79,4,0,1,0,0,0,1,0,0,0
43.0,1,4.0,40187.27,4,1,0,0,1,0,0,1,0,0
21.0,0,0.0,32949.83,1,0,0,0,1,0,0,0,0,1
43.0,0,10.0,37931.09,1,1,1,0,0,0,0,0,1,0
37.0,0,8.0,46155.19,2,0,0,0,1,0,0,1,0,0
27.0,0,4.0,46804.44,2,1,0,0,0,0,0,1,0,0
45.0,0,13.0,51611.11,1,0,0,0,0,1,0,0,1,0
24.0,1,2.0,37343.74,2,1,0,0,0,0,0,0,1,0
56.0,0,20.0,64451.62,5,0,1,0,0,0,1,0,0,0
26.0,1,3.0,38420.26,4,0,1,0,0,0,0,0,0,1
51.0,1,15.0,60453.98,4,0,0,0,0,0,0,0,0,1
43.0,0,11.0,48376.29,1,0,0,0,1,0,0,0,1,0
59.0,0,28.0,66245.07,3,0,0,0,1,0,0,0,0,0
47.0,1,15.0,47777.77,1,0,1,0,0,0,0,1,0,0
30.0,1,6.0,53296.72,2,1,0,1,0,0,0,1,0,0
46.0,1,17.0,56465.16,3,0,0,0,1,0,0,0,1,0
39.0,0,10.0,50535.57,2,0,0,0,0,0,0,0,0,0
59.0,1,19.0,60384.12,5,0,0,0,1,0,1,0,0,0
43.0,0,2.0,45147.51,2,1,0,0,0,0,0,0,1,0
33.0,0,6.0,43117.78,5,0,1,0,0,0,0,0,1,0
48.0,0,10.0,60284.03,5,0,0,0,1,0,0,1,0,0
40.0,1,16.0,58754.62,2,0,0,0,0,0,0,0,1,0
48.0,0,10.0,41349.11,2,0,0,1,0,0,0,0,1,0
28.0,0,3.0,51942.380000000005,5,0,0,1,0,0,0,0,1,0
59.0,0,18.0,61219.55,3,0,0,0,0,0,0,1,0,0
21.0,0,0.0,50270.32,5,1,0,1,0,0,1,0,0,0
23.0,0,1.0,47811.48,4,0,0,1,0,0,1,0,0,0
33.0,1,3.0,49222.27,5,0,0,0,0,1,0,0,1,0
48.0,0,8.0,47433.8,3,0,0,0,1,0,0,1,0,0
45.0,0,7.0,50784.86,4,0,0,0,0,0,1,0,0,0
53.0,1,9.0,50039.22,1,1,0,1,0,0,1,0,0,0
58.0,0,20.0,52561.59,1,0,0,0,0,1,1,0,0,0
26.0,1,3.0,36630.53,3,1,1,0,0,0,0,1,0,0
52.0,0,13.0,54430.41,5,0,0,0,0,0,0,1,0,0
41.0,1,10.0,52976.36,2,0,0,1,0,0,0,0,1,0
36.0,1,5.0,36541.15,3,0,0,0,1,0,0,0,0,1
41.0,0,9.0,49498.74,4,0,0,0,0,1,1,0,0,0
31.0,0,6.0,52049.22,4,0,0,1,0,0,0,0,0,1
57.0,0,25.0,51942.380000000005,1,0,0,0,1,0,0,1,0,0
56.0,1,9.0,53290.26,4,0,0,1,0,0,0,1,0,0
55.0,1,18.0,58655.25,3,1,0,0,0,0,0,1,0,0
39.0,1,8.0,52873.9,4,0,0,0,0,0,0,0,0,1
40.0,0,14.0,55579.43,3,0,0,0,0,0,0,1,0,0
38.0,1,12.0,55277.02,2,1,0,1,0,0,0,0,1,0
34.0,1,8.0,43245.73,1,0,0,0,0,0,0,1,0,0
35.0,0,10.0,44982.38,4,0,0,0,1,0,0,0,0,0
51.0,1,24.0,70728.26,3,0,0,1,0,0,0,0,0,1
21.0,1,0.0,44524.73,5,1,1,0,0,0,0,0,0,0
23.0,0,1.0,33629.03,1,1,0,0,1,0,0,1,0,0
36.0,1,7.0,35377.6,2,1,0,0,1,0,0,0,1,0
43.0,0,7.0,50649.58,3,1,0,0,0,0,1,0,0,0
31.0,0,8.0,51408.11,2,0,0,0,0,1,0,1,0,0
32.0,0,8.0,53128.75,2,1,0,1,0,0,0,0,1,0
30.0,0,4.0,47545.67,4,0,0,0,0,1,0,0,0,1
52.0,0,19.0,62597.93,4,0,0,1,0,0,0,0,0,0
36.0,1,13.0,54287.31,3,0,0,1,0,0,0,0,0,0
28.0,1,5.0,49822.17,5,0,0,0,0,1,0,0,0,0
58.0,0,23.0,54744.48,3,0,0,0,1,0,0,0,0,1
32.0,0,9.0,62675.45,5,0,0,1,0,0,0,0,1,0
44.0,1,19.0,53063.42,2,1,0,0,0,1,0,0,0,1
48.0,0,19.0,60151.37,1,0,0,1,0,0,0,0,0,0
28.0,0,2.0,30956.93,3,0,1,0,0,0,0,1,0,0
48.0,0,13.0,49374.79,3,0,0,0,1,0,1,0,0,0
56.0,1,26.0,68956.56,5,0,0,0,0,0,0,0,0,1
46.0,1,10.0,51942.380000000005,2,0,0,1,0,0,0,0,0,1
28.0,0,5.0,41317.37,2,1,1,0,0,0,0,0,1,0
48.0,0,9.0,64114.64,5,0,0,0,0,0,0,0,1,0
48.0,1,8.0,54517.89,2,0,0,0,0,0,0,0,0,1
57.0,1,17.0,67676.76,4,0,0,1,0,0,0,0,0,0
56.0,0,10.0,44043.52,1,1,0,0,0,1,1,0,0,0
47.0,0,21.0,69773.56,3,0,0,1,0,0,0,0,1,0
37.0,1,12.0,48495.41,1,1,1,0,0,0,0,0,0,0
29.0,1,6.0,50847.29,3,0,0,0,0,0,0,1,0,0
53.0,1,20.0,63062.56,4,0,0,1,0,0,0,0,1,0
40.0,0,7.0,43052.46,2,0,0,1,0,0,0,0,0,0
33.0,1,10.0,64460.79,5,0,0,1,0,0,0,0,0,0
48.0,0,16.0,55701.02,4,1,0,0,1,0,1,0,0,0
